"green",
"greenLight",
"greenDark",
"purple",
"magenta",
"pink",
"pinkDark",
"blueLight",
"teal",
"blue",
"blueDark",
"darken",
"yellow",
"orange",
"orangeDark",
"red",
"redLight",
"white"


